Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname; Bundesland
125;19811001;20220331;742;47.8342;10.8667;Altenstadt;Bayern
368;19800102;20220331;69;52.8152;9.9248;Bergen;Niedersachsen
433;19470801;19931231;48;52.4675;13.4021;Berlin-Tempelhof;Berlin
853;19960827;20011115;416;50.7913;12.872;Chemnitz;Sachsen
950;19870408;19890615;194;51.95;8.9;Detmold;Nordrhein-Westfalen
1221;19530101;19731231;0;53.3707;7.2236;Emden-Wolthusen;Niedersachsen
1280;19470312;19561231;280;49.5692;10.9929;Erlangen-Bruck;Bayern
1303;19740101;20220331;150;51.4041;6.9677;Essen-Bredeney;Nordrhein-Westfalen
1505;19800102;20071031;222;51.1333;9.2833;Fritzlar-Kasseler Warte;Hessen
1684;19960821;19970903;239;51.1621;14.9506;Goerlitz;Sachsen
1757;19610101;20220331;2;54.0967;13.4056;Greifswald;Mecklenburg-Vorpommern
2014;19530101;19970601;55;52.4644;9.6779;Hannover;Niedersachsen
2290;19810902;20220330;977;47.8009;11.0108;Hohenpeissenberg;Bayern
2385;19800102;20220331;376;49.6927;7.3263;Idar-Oberstein;Rheinland-Pfalz
2564;19800102;19940923;28;54.3776;10.1424;Kiel-Holtenau;Schleswig-Holstein
2667;19600601;19650719;92;50.8646;7.1575;Koeln-Bonn;Nordrhein-Westfalen
2773;19800102;20220331;415;49.4283;11.9016;Kuemmersbruck;Bayern
3015;19610101;20220331;98;52.2085;14.118;Lindenberg;Brandenburg
3231;19690101;20220331;450;50.5611;10.3771;Meiningen;Thueringen
3254;19800102;20220331;19;52.7155;7.3176;Meppen;Niedersachsen
3390;19471001;19771231;529;48.1369;11.7094;Muenchen-Riem;Bayern
3518;19800201;19940624;793;47.976;8.9101;Neuhausen ob Eck;Baden-Wuerttemberg
3631;20110615;20220331;12;53.7123;7.1519;Norderney;Niedersachsen
3668;19861111;19980115;314;49.503;11.0549;Nuernberg;Bayern
3715;19780101;20220331;484;48.2446;11.5525;Oberschleissheim (Lustheim);Bayern
3775;19820330;19960731;100;50.1029;8.7468;Offenbach/Main (Zentrallabor);Hessen
4466;19541001;20220331;43;54.5275;9.5487;Schleswig;Schleswig-Holstein
4702;19950109;20070928;645;48.1;9.25;Sigmaringen (Flugplatz);Baden-Wuerttemberg
4928;19570101;20220331;314;48.8281;9.2;Stuttgart (Schnarrenberg);Baden-Wuerttemberg
5282;19610101;20000911;246;51.1197;13.6744;Wahnsdorf bei Dresden;Sachsen
5642;19950105;19980528;72;53.1833;12.5167;Wittstock;Brandenburg
5839;19930801;20110831;0;53.3881;7.2287;Emden;Niedersachsen
5906;19820319;19980908;98;49.5063;8.5584;Mannheim;Baden-Wuerttemberg
6149;19941110;19981112;213;49.2545;6.9421;Saarbruecken;Saarland
6202;20000912;20060731;106;51.5467;12.0608;Oppin;Sachsen-Anhalt
6209;19820115;19950224;415;49.7;11.95;Grafenwoehr (Flugplatz);Bayern
7274;19800102;19970331;5;53.35;7.2167;Emden-Koenigspolder;Niedersachsen